item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
4107,Build Your Dreams,2002,Creator,,1000,NA,http://images.brickset.com/sets/images/4107-1.jpg,29.99,20,NA,NA,Tub,Retail
4108,"Road Plates, Junction",2002,Town,Accessories,2,NA,http://images.brickset.com/sets/images/4108-1.jpg,4.99,7,NA,NA,Shrink-wrapped,Retail
4109,"Road Plates, Curved",2002,Town,Accessories,2,NA,http://images.brickset.com/sets/images/4109-1.jpg,4.99,6.99,NA,NA,Shrink-wrapped,Retail
4110,"Road Plates, Straight",2002,Town,Accessories,2,NA,http://images.brickset.com/sets/images/4110-1.jpg,4.99,7,NA,NA,Shrink-wrapped,Retail
4111,"Road Plates, Cross",2002,Town,Accessories,2,NA,http://images.brickset.com/sets/images/4111-1.jpg,4.99,7,NA,NA,Shrink-wrapped,Retail
4340,Story Builder Starter Set - Jungle Jam,2002,Explore,Imagination,10,NA,http://images.brickset.com/sets/images/4340-1.jpg,39.99,50,NA,NA,Not specified,Not specified
4341,Story Builder - Farmyard Fun,2002,Explore,Imagination,9,NA,http://images.brickset.com/sets/images/4341-1.jpg,12.99,10,NA,NA,Not specified,Not specified
4342,Storybuilder - Crazy Castle,2002,Explore,Imagination,9,NA,http://images.brickset.com/sets/images/4342-1.jpg,12.99,10,NA,NA,Not specified,Not specified
4343,Storybuilder - Pink Palace Magic,2002,Explore,Imagination,9,NA,http://images.brickset.com/sets/images/4343-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4344,Storybuilder - Meet the Dinosaurs,2002,Explore,Imagination,9,NA,http://images.brickset.com/sets/images/4344-1.jpg,12.99,10,NA,NA,Not specified,Not specified
4345,Storybuilder - Happy Home,2002,Explore,Imagination,9,NA,http://images.brickset.com/sets/images/4345-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4524,Holiday Calendar,2002,Creator,Seasonal,231,NA,http://images.brickset.com/sets/images/4524-1.jpg,NA,15,NA,NA,Box,Retail - limited
4534,LEGO Express,2002,Trains,9 V,456,NA,http://images.brickset.com/sets/images/4534-1.jpg,NA,160,NA,NA,Box,Retail - limited
4535,LEGO Express Deluxe,2002,Trains,9 V,762,NA,http://images.brickset.com/sets/images/4535-1.jpg,NA,170,NA,NA,Box,Retail - limited
4582,Red Bullet,2002,Racers,Drome Racers,29,NA,http://images.brickset.com/sets/images/4582-1.jpg,2.99,4,NA,NA,Box,Retail
4583,Maverick Storm,2002,Racers,Drome Racers,31,NA,http://images.brickset.com/sets/images/4583-1.jpg,2.99,4,NA,NA,Box,Retail
4584,Hot Scorcher,2002,Racers,Drome Racers,58,1,http://images.brickset.com/sets/images/4584-1.jpg,7.99,10,NA,NA,Box,Retail
4585,Nitro Pulverizer,2002,Racers,Drome Racers,61,1,http://images.brickset.com/sets/images/4585-1.jpg,7.99,10,NA,NA,Box,Retail
4586,Stunt Race Track,2002,Racers,Drome Racers,168,NA,http://images.brickset.com/sets/images/4586-1.jpg,14.99,20,NA,NA,Box,Retail
4587,Duel Racers,2002,Racers,Drome Racers,200,2,http://images.brickset.com/sets/images/4587-1.jpg,29.99,40,NA,NA,Box,Retail
